书名,别名,作者,作者国籍,出版社,出版时间,价格,评价,评价人数,是否可试读,链接
一个叫欧维的男人决定去死,En man som heter Ove,弗雷德里克·巴克曼宁蒙,瑞典, 四川文艺出版社 , 2015-12 , 35.00,这个发生在瑞典的故事，如生命庆典般绚丽斑斓,51837,可试读,https://book.douban.com/subject/26672693/
灿烂千阳,A Thousand Splendid Suns,卡勒德·胡赛尼李继宏,美, 上海人民出版社 , 2007-9 , 28.00,唯有希望与爱可以驱散阴霾,109231,可试读,https://book.douban.com/subject/2143732/
人间词话,无别名,王国维 ,中, 上海古籍出版社 , 1998-12 , 9.80,以新眼光评旧文学,49421,不可试读,https://book.douban.com/subject/1203426/
最好的告别,  关于衰老与死亡，你必须知道的常识 ,阿图·葛文德（AtulGawande）王一方主编,美, 浙江人民出版社 , 2015-7-31 , 54.90,关于衰老与死亡，你必须知道的常识,39916,可试读,https://book.douban.com/subject/26576861/
窗边的小豆豆,窓ぎわのトットちゃん,黑柳彻子赵玉皎,日, 南海出版公司 , 2003-1 , 20.00,真正懂孩子的教育经,189534,可试读,https://book.douban.com/subject/1007914/
唐诗三百首,无别名,蘅塘退士 ,中, 中华书局 , 1984-07-01 , 0.65,熟读唐诗三百首，不会吟诗也会吟,21810,不可试读,https://book.douban.com/subject/1013267/
浪潮之巅,无别名,吴军 ,中, 电子工业出版社 , 2011-8 , 55.00,了解IT领域的入门读物,31095,可试读,https://book.douban.com/subject/6709783/
看见,无别名,柴静 ,中, 广西师范大学出版社 , 2013-1-1 , 39.80,在这里看见中国,315300,可试读,https://book.douban.com/subject/20427187/
呼兰河传,  1947年版本・原版珍藏 ,萧红 ,中, 百花文艺出版社 , 2005-01 , 19.00,萧红的童年往事,73831,不可试读,https://book.douban.com/subject/1060852/
道德经,无别名,黄元吉 ,中, 陕西人民出版社 , 1996-10 , 4.50,中国历史上首部完整的哲学著作,17141,不可试读,https://book.douban.com/subject/1059258/
孽子,无别名,白先勇 ,中, 广西师范大学出版社 , 2010.10 , 46.00,写给那一群， 在最深最深的黑夜里， 独自彷徨街头， 无所依归的孩子们,32361,可试读,https://book.douban.com/subject/5337254/
厌女,  日本的女性嫌恶 ,上野千鹤子  王兰 ,中, 上海三联书店 , 2015-1 , 28.00,无热评,36002,不可试读,https://book.douban.com/subject/25836270/
美的历程,无别名,李泽厚 ,中, 生活·读书·新知三联书店 , 2009-7 , 43.00,中国美学经典之作,25367,不可试读,https://book.douban.com/subject/3410718/
爱你就像爱生命,无别名,王小波 ,中, 上海锦绣文章出版社 , 2008-5 , 18.00,王小波与李银河的两地书,103751,不可试读,https://book.douban.com/subject/3071717/
巨人的陨落,  世纪三部曲 ,肯·福莱特于大卫,英, 江苏凤凰文艺出版社 , 2016-5-1 , 129.80,五个家族，一场战争,78439,可试读,https://book.douban.com/subject/26698660/
我们仨,无别名,杨绛 ,中, 生活·读书·新知三联书店 , 2003-7 , 18.80,家庭生活回忆录,284785,不可试读,https://book.douban.com/subject/1023045/
海子的诗,无别名,海子 ,中, 人民文学出版社 , 1999-04 , 15.40,无热评,41159,不可试读,https://book.douban.com/subject/1011754/
冬牧场,无别名,李娟 ,中, 新星出版社 , 2012-6 , 29.80,阿勒泰的精灵,26929,可试读,https://book.douban.com/subject/10522856/
教父,The Godfather,马里奥·普佐周汉林,美, 译林出版社 , 1997-8 , 23.30,“教父三部曲”电影原著,37001,不可试读,https://book.douban.com/subject/1092335/
人生的枷锁,Of Human Bondage,毛姆张柏然,英, 上海译文出版社 , 2007-3 , 32.00,在混沌纷扰的生活漩流中，寻求人生的真谛,26481,不可试读,https://book.douban.com/subject/2035171/
看不见的城市,Le città invisibili,伊塔洛·卡尔维诺张密,意, 译林出版社 , 2012-4 , 25.00,无热评,27308,可试读,https://book.douban.com/subject/10555509/
四世同堂,无别名,老舍 ,中, 北京十月文艺出版社 , 2008-07 , 36.00,北平沦陷时代广大平民的悲惨遭遇,28883,不可试读,https://book.douban.com/subject/3183775/
人生的智慧,无别名,(德)叔本华  韦启昌 ,中, 上海人民出版社 , 2008-10-01 , 28.00,对世俗、实用问题深刻而透彻的讨论,26669,不可试读,https://book.douban.com/subject/3261600/
斯通纳,Stoner,约翰·威廉斯杨向荣,美, 上海人民出版社 , 2016-1 , 49.00,即使不能拥有完美的生活，所幸追求过完整的自我,50816,可试读,https://book.douban.com/subject/26425831/
飞鸟集,无别名,罗宾德拉纳德·泰戈尔徐翰林,印, 哈尔滨出版社 , 2004-6 , 16.80,一个淡泊清透的世界,60002,不可试读,https://book.douban.com/subject/1058661/
