书名,别名,作者,作者国籍,出版社,出版时间,价格,评价,评价人数,是否可试读,链接
2001：太空漫游,  《太空漫游四部曲》第1部 ,阿瑟·克拉克郝明义,英, 上海文艺出版社 , 2019-5-10 , 62.00,无热评,14515,可试读,https://book.douban.com/subject/30471298/
雷雨,无别名,曹禺 ,中, 人民文学出版社 , 1999-05 , 9.20,一幕人生大悲剧，在一个雷雨夜爆发,71692,不可试读,https://book.douban.com/subject/1013416/
目送,无别名,龙应台 ,中, 生活·读书·新知三联书店 , 2009-10 , 39.00,不必追,202951,可试读,https://book.douban.com/subject/3995526/
银河帝国：基地七部曲,  百万册纪念版 ,艾萨克·阿西莫夫叶李华,美, 江苏凤凰文艺出版社 , 2015-10-1 , 328.00,阿西莫夫经典科幻小说,11151,不可试读,https://book.douban.com/subject/26389895/
孙子兵法,无别名,孙武  郭化若 ,中, 上海古籍出版社 , 2006-7 , 20.00,我国最古老最杰出的一部兵书,11240,不可试读,https://book.douban.com/subject/1949420/
当呼吸化为空气,When Breath Becomes Air,保罗·卡拉尼什何雨珈,美, 浙江文艺出版社 , 2016-12 , 48.00,你在死亡中探究生命的意义，你见证生前的呼吸化作死后的空气,23551,可试读,https://book.douban.com/subject/26896859/
水浒传（全二册）,无别名,施耐庵,明, 人民文学出版社 , 1997-1 , 50.60,替天行道,68736,可试读,https://book.douban.com/subject/1008357/
解忧杂货店,ナミヤ雑貨店の奇蹟,东野圭吾李盈春,日, 南海出版公司 , 2014-5 , 39.50,现代人内心流失的东西，这家杂货店能帮你找回,715594,不可试读,https://book.douban.com/subject/25862578/
上学记,无别名,何兆武 口述 ,中, 生活·读书·新知三联书店 , 2006-8 , 19.80,20世纪中国知识分子的心灵史,13397,不可试读,https://book.douban.com/subject/1859140/
顾城的诗,无别名,顾城 ,中, 人民文学出版社 , 1998-12 , 20.00,火焰是我们诗歌唯一的读者,23453,不可试读,https://book.douban.com/subject/1033825/
认识电影,  插图第11版 ,路易斯·贾内梯焦雄屏,美, 世界图书出版公司 , 2007-11 , 68.00,电影入门经典之作,16994,不可试读,https://book.douban.com/subject/2326403/
一千零一夜,The Arabian Nights Tales of 1001 Nights,纳训 ,中, 人民文学出版社 , 2003-01 , 22.00,阿拉伯地区的古代民间传说,53498,不可试读,https://book.douban.com/subject/1035848/
荒原狼,无别名,赫尔曼·黑塞赵登荣,德, 上海译文出版社 , 2008-7 , 13.00,“超现实主义”风格作品，德国的《尤利西斯》,17067,不可试读,https://book.douban.com/subject/3131626/
众病之王,  癌症传 ,悉达多·穆克吉李虎,美, 中信出版社 , 2013-2 , 42.00,癌症传,11467,可试读,https://book.douban.com/subject/20507206/
总统是靠不住的,  近距离看美国之二 ,林达 ,中, 生活·读书·新知三联书店 , 2004-08 , 21.80,美国政治法律制度的基本原理和操作细节,19543,可试读,https://book.douban.com/subject/1056315/
论语,无别名,刘胜利 ,中, 中华书局 , 2006-12 , 9.80,仁远乎哉？我欲仁，斯仁至矣,19726,不可试读,https://book.douban.com/subject/1964774/
你一生的故事,  特德·姜科幻小说集 ,特德·姜李克勤,美, 译林出版社 , 2015-5 , 36.00,特德·姜科幻小说集,30232,可试读,https://book.douban.com/subject/26295448/
冰与火之歌,  （1-5卷：权力的游戏、列王的纷争、冰雨的风暴、群鸦的盛宴、魔龙的狂 ,乔治·R.R.马丁谭光磊,美, 重庆出版社 , 2013-10-1 , 330.00,乔治·R·R·马丁史诗奇幻小说,14049,不可试读,https://book.douban.com/subject/25826936/
全球通史,  从史前史到21世纪 ,(美) 斯塔夫里阿诺斯  吴象婴 ,中, 北京大学出版社 , 2012-2-1 , 168.00,从史前史到21世纪,18405,不可试读,https://book.douban.com/subject/10583099/
火星救援,The Martian,安迪·威尔陈灼,美, 译林出版社 , 2015-10 , 38.00,跟火星来一场不是你死就是我活的过家家游戏,16518,可试读,https://book.douban.com/subject/26586492/
天生有罪,  特雷弗·诺亚的变色人生 ,特雷弗·诺亚董帅,南非, 北京联合出版公司 , 2018-2-1 , 58.00,无热评,13603,可试读,https://book.douban.com/subject/30125030/
青铜时代,  时代三部曲 ,王小波 ,中, 花城出版社 , 1997-5 , 29.00,唐人传奇贯注现代情趣,24520,可试读,https://book.douban.com/subject/1085883/
象棋的故事,无别名,斯蒂芬·茨威格张玉书,奥, 上海译文出版社 , 2007-7 , 23.00,纳粹法西斯对人心灵的折磨及摧残,11098,不可试读,https://book.douban.com/subject/2158684/
荆棘鸟,The Thorn Birds,考琳·麦卡洛曾胡,澳, 译林出版社 , 1998-7 , 28.00,澳洲乱世情,49867,不可试读,https://book.douban.com/subject/1086249/
从一到无穷大,  科学中的事实和臆测 ,G.伽莫夫暴永宁译,美, 科学出版社 , 2002-11 , 29.00,科学中的事实和臆测,12480,不可试读,https://book.douban.com/subject/1102715/
此生未完成,  一个母亲、妻子、女儿的生命日记 ,于娟 ,中, 湖南科学技术出版社 , 2011-5 , 26.00,一个母亲、妻子、女儿的生命日记,20890,不可试读,https://book.douban.com/subject/6397275/
繁花,无别名,金宇澄 ,中, 上海文艺出版社 , 2013-3 , 48.00,海上繁花，请静观静读,29320,不可试读,https://book.douban.com/subject/22714154/
毛姆短篇小说精选集,无别名,威廉·萨默塞特·毛姆冯亦代,英, 译林出版社 , 2012-11 , 36.00,在各种光怪陆离的场景中，迷失的人性引发了一连串的悲剧,11065,可试读,https://book.douban.com/subject/10774752/
正见,  佛陀的证悟 ,宗萨蒋扬钦哲仁波切  姚仁喜 ,中, 中国友谊出版公司 , 2007-1 , 25.00,佛陀的证悟,16416,可试读,https://book.douban.com/subject/1963912/
庄子,无别名,孙通海 译注  方勇 译注 ,中, 中华书局 , 2007-04 , 20.00,野马也，尘埃也，生物之以息相吹也,9548,不可试读,https://book.douban.com/subject/2046236/
中国哲学简史,A Short History of Chinese Philosophy,冯友兰  赵复三 ,中, 新世界出版社 , 2004-1 , 38.00,中国哲学入门书,18235,不可试读,https://book.douban.com/subject/1021273/
金锁记,无别名,张爱玲 ,中, 哈尔滨出版社 , 2005-6 , 13.5,一个小商人家庭出身的女子曹七巧的心灵变迁历程,57530,不可试读,https://book.douban.com/subject/3017857/
雕刻时光,ЗАПЕЧАТЛЕННОЕ ВРЕМЯ,安德烈·塔可夫斯基张晓东,苏, 南海出版公司 , 2016-5 , 45.00,无热评,6269,不可试读,https://book.douban.com/subject/26435510/
现代艺术150年,  一个未完成的故事 ,威尔·贡培兹王烁,英, 广西师范大学出版社 , 2017-3-1 , 65.00,无热评,11267,可试读,https://book.douban.com/subject/26854318/
规训与惩罚,  监狱的诞生 ,米歇尔·福柯刘北成,法, 生活·读书·新知三联书店 , 2003-1 , 21.80,伴随着惩罚的人性化，自由反而日益丧失了,8799,不可试读,https://book.douban.com/subject/1012307/
二手时间,Время секонд хэнд,S.A.阿列克谢耶维奇吕宁思,白俄, 中信出版社 , 2016-1 , 55.00,用最为细小的马赛克拼出了一幅完整的后苏联时代图景,19303,可试读,https://book.douban.com/subject/26704403/
如彗星划过夜空,  近距离看美国之四 ,林达 ,中, 生活·读书·新知三联书店 , 2006-3 , 21.00,无热评,10874,不可试读,https://book.douban.com/subject/1762869/
步履不停,歩いても、歩いても,是枝裕和郑有杰,日, 北京联合出版公司 , 2017-5 , 36.80,人生路上，步履不停，总有那么一点来不及,35506,可试读,https://book.douban.com/subject/26963321/
黑客与画家,  硅谷创业之父Paul Graham文集 ,PaulGraham阮一峰,美, 人民邮电出版社 , 2011-4 , 49.00,硅谷创业之父Paul Graham文集,21559,可试读,https://book.douban.com/subject/6021440/
香水,  一个谋杀犯的故事 ,帕·聚斯金德李清华,德, 上海译文出版社 , 2009-6 , 25.00,无热评,18004,可试读,https://book.douban.com/subject/3815125/
骆驼祥子,无别名,老舍 ,中, 人民文学出版社 , 2000-3-1 , 12.00,旧中国老北京贫苦市民的典型命运,183635,不可试读,https://book.douban.com/subject/1043815/
哈姆莱特,Hamlet,莎士比亚朱生豪,英, 人民文学出版社 , 2001-1 , 7.00,生存还是毁灭，这是一个值得思考的问题,43784,不可试读,https://book.douban.com/subject/1006197/
稻草人手记,无别名,三毛 ,中, 北京十月文艺出版社 , 2009-3 , 18.00,三毛在加纳利群岛上的生活,18505,不可试读,https://book.douban.com/subject/3607117/
民主的细节,  美国当代政治观察随笔 ,刘瑜 ,中, 上海三联书店 , 2009-6 , 25.00,公民养成手册,73501,可试读,https://book.douban.com/subject/3813669/
时间的秩序,The Order of Time,卡洛·罗韦利杨光,意, 湖南科学技术出版社 , 2019-6 , 56.00,无热评,17475,可试读,https://book.douban.com/subject/33424487/
不存在的骑士,Il Cavaliere Inesistente,伊塔洛·卡尔维诺吴正仪,意, 译林出版社 , 2012-4 , 22.00,无热评,16130,可试读,https://book.douban.com/subject/6789551/
消失的13级台阶,13階段,高野和明赵建勋,日, 上海文艺出版社 , 2020-5-15 , 42.00,无热评,58261,可试读,https://book.douban.com/subject/34996429/
被讨厌的勇气,  “自我启发之父”阿德勒的哲学课 ,岸见一郎渠海霞,日, 机械工业出版社 , 2015-3-1 , 39.8,无热评,89916,不可试读,https://book.douban.com/subject/26369699/
了不起的盖茨比,The Great Gatsby,斯科特·菲茨杰拉德邓若虚,美, 南海出版公司 , 2012-5 , 25.00,无热评,43297,可试读,https://book.douban.com/subject/10738023/
夏洛的网,Charlotte's Web,E.B.怀特任溶溶,美, 上海译文出版社 , 2004-5 , 17.00,一个蜘蛛和小猪的故事，写给孩子，也写给大人,63195,不可试读,https://book.douban.com/subject/1036274/
从零开始的女性主义,上野先生、フェミニズムについてゼロから教えてください！,上野千鹤子吕灵芝,日本, 北京联合出版公司 , 2021-9 , 52.00,无热评,26268,可试读,https://book.douban.com/subject/35523099/
如父如子,无别名,是枝裕和丹勇,日, 湖南文艺出版社 , 2018-4 , 49.80,无热评,22829,可试读,https://book.douban.com/subject/27611824/
张爱玲文集,无别名,张爱玲 ,中, 安徽文艺出版社 , 1992年 , 45,无热评,14794,不可试读,https://book.douban.com/subject/1004992/
牡丹亭,无别名,汤显祖 ,中, 人民文学出版社 , 1963-4-1 , 14.50,不到园林，怎知春色如许,12363,不可试读,https://book.douban.com/subject/1073708/
会饮篇,Συμπόσιον,柏拉图王太庆,古希腊, 商务印书馆 , 2013-1 , 12.00,无热评,8199,不可试读,https://book.douban.com/subject/21570668/
黑箱,  日本之耻 ,伊藤诗织匡匡,日, 中信出版集团 , 2019-4 , 48.00,无热评,17462,可试读,https://book.douban.com/subject/30484795/
金阁寺,金閣寺,三岛由纪夫唐月梅,日, 上海译文出版社 , 2009-1 , 24.00,他的犯罪动机是对美的嫉妒,30704,不可试读,https://book.douban.com/subject/3391248/
社会契约论,Du Contrat Social,卢梭何兆武,法, 商务印书馆 , 2003-2-1 , 18.00,一个国家只能有一个契约,17427,不可试读,https://book.douban.com/subject/1277981/
巨流河,无别名,齐邦媛 ,中, 生活·读书·新知三联书店 , 2010-10 , 39.00,两代人从巨流河到哑口海的故事,28880,不可试读,https://book.douban.com/subject/4842446/
显微镜下的大明,无别名,马伯庸 ,中, 湖南文艺出版社 , 2019-1 , 52.00,无热评,24287,不可试读,https://book.douban.com/subject/30414743/
给青年诗人的信,  雅众·文学馆 ,里尔克冯至雅众文化,奥,云南人民出版社 , 2015-12 , 29.00,无热评,10870,可试读,https://book.douban.com/subject/26685994/
佐贺的超级阿嬷,无别名,岛田洋七陈宝莲,日, 南海出版公司 , 2007-3 , 20.00,乐观的外婆却总有神奇的办法,22844,可试读,https://book.douban.com/subject/2008284/
人类的群星闪耀时,Sternstunden der Menschheit Vierzehn historische Miniaturen,斯蒂芬·茨威格舒昌善,奥, 广西师范大学出版社 , 2004-8 , 18.00,十四个影响人类文明的瞬间,28141,不可试读,https://book.douban.com/subject/1083762/
长袜子皮皮,无别名,阿斯特丽德·林格伦李之义,瑞典, 中国少年儿童出版社 , 1999-3 , 17.80,无热评,12168,不可试读,https://book.douban.com/subject/1004088/
